"c5r2mtsc","c5r2mtsc_std","p5hmage","w3momed_hsb","w3income","catholic","income2"
60.043,0.981753324784374,47,0,62.5005,0,131639.894499628
56.28,0.594377509394192,41,0,45.0005,0,82397.0958653686
55.272,0.490610615449652,43,0,62.5005,0,166590.923226751
64.604,1.45127793121398,38,0,87.5005,1,101387.796832267
75.721,2.59569912167177,47,0,150.0005,0,303141.814096296
56.868,0.654908197528507,30,0,7.5005,0,12727.7231234061
54.248,0.385196627950437,41,0,62.5005,0,89404.6703551667
45.572,-0.507939852072208,38,1,7.5005,0,13466.1477705524
50.804,0.0306597403065932,28,1,17.5005,0,21140.7875480854
40.064,-1.07495180826916,31,1,32.5005,0,70610.4003203795
46.097,-0.453894594809428,38,0,37.5005,0,66105.0030543637
53.336,0.291312295333949,26,1,45.0005,0,80348.9539212492
57.767,0.747454266631822,38,0,62.5005,0,67874.9371881976
57.237,0.692894292633205,27,1,62.5005,0,122600.388030313
45.384,-0.527293201339643,40,1,62.5005,0,159937.948020108
47.284,-0.331700841721959,27,1,12.5005,0,26691.5349328505
50.257,-0.0256502705938668,33,0,17.5005,0,36832.7367408162
44.564,-0.611706746016749,36,1,17.5005,0,18963.2148508232
40.922,-0.986626416399699,46,0,12.5005,0,20136.832841263
56.236,0.589848002118835,42,1,22.5005,0,52687.0552451003
41.063,-0.972111404449123,42,0,12.5005,0,26466.0607812947
54.404,0.401255790108521,39,0,87.5005,0,141859.050045232
70.107,2.0177751706751,37,0,62.5005,0,107646.34438017
57.567,0.726865597198381,37,0,45.0005,0,99184.0500913523
47.199,-0.340451026231171,28,1,27.5005,0,59188.8699980392
65.741,1.56832451694309,34,1,37.5005,0,72037.1243521903
64.935,1.48535217912633,41,0,150.0005,1,184089.87647783
45.63,-0.501969137936511,35,0,87.5005,1,69655.7124714358
48.521,-0.20435992127613,41,0,150.0005,1,344524.491430332
41.637,-0.913021923175149,37,1,150.0005,1,181267.587452075
67.783,1.77853483185852,42,0,87.5005,1,168964.434998485
53.501,0.308297947616537,27,1,62.5005,1,146936.488990934
61.241,1.10507945469068,41,0,150.0005,1,198739.68264122
57.185,0.68754123858051,40,0,150.0005,1,217206.681629892
64.364,1.42657152789385,35,0,62.5005,1,136387.575406029
59.207,0.895692686552593,38,0,62.5005,1,153578.042139362
60.025,0.979900344535364,34,0,62.5005,1,98845.8718792941
44.731,-0.594515207039826,37,0,87.5005,0,279002.531534605
49.884,-0.064048139087233,38,1,17.5005,0,21492.6083755386
34.44,-1.6539051927375,31,1,17.5005,0,26024.6247894858
42.962,-0.776621988178606,36,1,62.5005,0,126734.845380122
52.571,0.212560634751039,31,1,32.5005,0,57396.2458292154
55.383,0.502037326985212,35,1,87.5005,0,184213.706823459
60.096,0.987209322184235,35,0,150.0005,0,227158.357447801
48.597,-0.196536226891422,34,1,87.5005,0,202219.465519408
35.802,-1.51369635389577,43,1,45.0005,0,89165.2281414106
27.545,-2.36369957145536,47,0,32.5005,0,72363.4717574779
33.829,-1.71680357785666,30,1,32.5005,0,57840.8642533163
66.911,1.68876823312872,38,0,62.5005,0,148933.194139228
56.95,0.663349551996218,34,1,62.5005,0,110527.242343344
43.744,-0.696120290693854,37,0,87.5005,0,150723.875981089
39.482,-1.13486483632047,34,1,45.0005,0,112016.326687345
54.888,0.451080370137446,35,0,12.5005,0,38220.2822815976
45.098,-0.556734998629463,37,1,27.5005,0,67975.6167381902
45.357,-0.530072671713157,33,1,32.5005,0,77055.219746486
27.493,-2.36905262550806,29,1,22.5005,0,45614.0808348159
47.341,-0.325833070933428,30,1,5,0,11405.572452095
48.33,-0.224022100585065,39,1,87.5005,0,179734.967198132
41.401,-0.937316553106609,32,1,45.0005,0,72592.8164729085
63.365,1.32373112407382,48,0,150.0005,0,263396.500054644
37.569,-1.33179545945133,29,1,22.5005,0,54035.3215356149
54.204,0.38066712067508,34,0,62.5005,0,105573.653693859
61.28,1.1090942452302,35,1,87.5005,0,145648.012875226
60.838,1.0635932857823,43,0,150.0005,0,107930.048815542
50.8,0.0302479669179239,39,0,22.5005,0,49081.5029588754
55.124,0.475375000068907,40,1,87.5005,0,122942.022787948
48.19,-0.238434169188474,29,1,32.5005,0,80289.6728481809
44.839,-0.583397325545768,34,1,62.5005,0,85430.1005126687
44.921,-0.574955971078057,34,0,45.0005,0,91982.2612415223
50.489,-0.001767414051076,37,0,62.5005,0,133874.447841422
68.39,1.84102144358901,46,1,45.0005,0,100605.208897007
49.496,-0.103990157788107,34,1,45.0005,0,130585.148779321
59.002,0.874589300383317,38,0,45.0005,0,107045.315705016
46.051,-0.458629988779119,30,1,17.5005,0,38014.1104860609
49.446,-0.109137325146468,39,0,62.5005,0,148602.511196578
42.981,-0.774666064582429,40,1,150.0005,0,289711.306100156
49.277,-0.126534750817725,32,0,62.5005,0,92409.519302381
64.616,1.45251325137999,35,0,150.0005,0,339556.513459088
52.723,0.228208023520454,45,0,150.0005,0,273049.997195883
51.895,0.142970932066011,51,0,62.5005,0,180942.293766879
58.477,0.820544043120535,35,0,45.0005,0,105825.235504691
42.011,-0.874521111334615,36,0,45.0005,0,77770.5201649042
57.2,0.689085388788018,35,1,45.0005,0,69440.5091605148
35.879,-1.5057697161639,29,1,17.5005,0,28047.5665145879
52.727,0.228619796909122,41,0,37.5005,0,63271.2079541237
51.634,0.116102718455371,35,0,62.5005,0,83552.5417785732
61.212,1.10209409762283,35,0,37.5005,0,75354.0135999191
53.151,0.272267776108017,39,0,37.5005,0,72887.1684494604
24.674,-2.6592499211724,41,1,12.5005,0,29815.824275087
59.455,0.921222636650059,36,0,45.0005,0,90734.6536406174
35.856,-1.50813741314874,39,1,27.5005,0,49033.9620541741
21.748,-2.96046215498363,31,1,17.5005,0,47140.1227457284
31.317,-1.97539726594068,38,1,37.5005,0,68476.6411366208
41.462,-0.931037008929409,29,1,45.0005,0,88225.6551107718
48.042,-0.253669784569219,27,0,45.0005,0,85746.5475491253
56.234,0.589642115424501,44,1,37.5005,0,81819.7324814639
35.787,-1.51524050410328,31,1,62.5005,0,89251.302755978
51.123,0.0634986680529302,38,0,27.5005,0,56086.8441318834
52.439,0.198972112924969,51,0,32.5005,0,15670.8418229912
42.188,-0.856300138886021,32,0,37.5005,0,87781.1129514866
57.169,0.685894145025834,38,1,87.5005,0,255510.523157086
21.812,-2.95387378076493,42,0,87.5005,0,155420.713206474
52.852,0.241487715305023,35,1,22.5005,0,34305.7172422322
54.58,0.419373819209948,41,1,27.5005,0,59117.8739467159
34.803,-1.61653675771581,30,1,62.5005,0,122051.780284647
48.624,-0.193756756517908,40,1,7.5005,0,9025.50096354217
50.647,0.0144976348013421,44,1,32.5005,0,84079.1885239026
42.703,-0.803284315094911,46,0,87.5005,0,164786.01657119
38.504,-1.23554342984999,32,1,27.5005,0,53369.3879306512
34.102,-1.68870004408002,53,1,37.5005,0,100411.176703786
51.74,0.127014713255094,36,0,32.5005,0,37958.2905382581
50.852,0.0356010209706183,32,1,45.0005,0,57795.8753232034
31.071,-2.00072132934381,35,1,22.5005,0,34768.0786661404
52.024,0.15625062385058,32,1,17.5005,0,36061.9389227733
41.155,-0.962640616509741,32,0,22.5005,0,18244.7452579694
40.054,-1.07598124174083,30,1,37.5005,0,75466.1680418654
57.386,0.708232851361118,37,0,62.5005,0,174566.968664437
50.929,0.0435276587024934,34,1,37.5005,0,97200.9397508428
36.914,-1.39922335184585,40,1,150.0005,0,309534.727620681
44.647,-0.603162448201871,32,1,87.5005,0,218007.649660552
60.34,1.01232749889303,38,0,22.5005,0,38705.1480270986
32.76,-1.8268500159784,29,1,27.5005,0,47387.5739641135
55.206,0.483816354536617,46,0,150.0005,0,302177.880258001
55.026,0.465286552046521,34,1,27.5005,0,73634.7712592329
55.98,0.563494505244031,41,0,87.5005,0,129787.916667812
34.321,-1.6661554510504,36,1,37.5005,0,67548.2658441804
47.631,-0.295979500254939,34,1,62.5005,0,127475.315314515
45.424,-0.523175467452955,35,0,37.5005,0,74235.8162843087
52.562,0.211634144626534,33,0,37.5005,0,44059.2218878232
56.549,0.622069269782169,41,1,62.5005,0,127732.822102994
64.18,1.40762995201509,39,0,62.5005,0,126255.615778726
58.489,0.821779363286541,41,0,87.5005,0,141752.356101904
53.478,0.305930250631692,34,1,12.5005,0,28623.7961398296
45.163,-0.550043681063595,37,0,45.0005,0,91859.4736975367
47.773,-0.281361544957196,33,1,37.5005,0,64206.8687073234
62.321,1.21625826963126,50,0,150.0005,0,141854.966769835
49.671,-0.0859750720338471,24,0,27.5005,0,51467.5208066764
60.915,1.07151992351417,38,0,150.0005,0,344566.488899217
56.559,0.623098703253841,44,0,87.5005,0,237238.873183577
36.392,-1.45295977906712,29,1,12.5005,0,24712.1635832137
44.441,-0.624368777718314,30,0,12.5005,0,22406.2549018789
52.965,0.253120313534917,36,1,7.5005,0,14329.1260784244
48.807,-0.17491812398631,34,1,45.0005,0,95010.2330339857
36.482,-1.44369487782208,37,1,62.5005,0,109143.124004284
74.248,2.44406357129448,42,0,45.0005,0,67133.6463428967
53.845,0.343710459042055,27,1,17.5005,0,31289.8060111951
