"state","state.code","year","population","deaths","vmt"
"Alabama",1,1990,4043643,1121,4.2347e+10
"Alabama",1,1991,4101607,1116,4.2924e+10
"Alabama",1,1992,4155699,1031,4.5762e+10
"Alabama",1,1993,4216208,1044,4.7203e+10
"Alabama",1,1994,4262457,1083,4.8956e+10
"Alabama",1,1995,4298981,1114,5.0628e+10
"Alabama",1,1996,4334219,1146,5.1433e+10
"Alabama",1,1997,4370490,1192,5.3458e+10
"Alabama",1,1998,4408398,1071,5.5205e+10
"Alabama",1,1999,4430141,1138,5.6165e+10
"Alabama",1,2000,4447100,996,5.6534e+10
"Alabama",1,2001,4467634,991,5.6769e+10
"Alabama",1,2002,4480089,1038,5.7515e+10
"Alabama",1,2003,4503491,1004,5.8637e+10
"Alabama",1,2004,4530729,1154,5.9035e+10
"Alabama",1,2005,4569805,1148,5.9661e+10
"Alabama",1,2006,4628981,1207,6.0414e+10
"Alabama",1,2007,4672840,1110,6.141e+10
"Alabama",1,2008,4718206,966,5.9303e+10
"Alabama",1,2009,4757938,848,56060677907.1
"Alabama",1,2010,4779736,862,64162857662.83
"Alaska",2,1990,549982,98,3.91e+09
"Alaska",2,1991,570440,101,4.021e+09
"Alaska",2,1992,589389,108,3.841e+09
"Alaska",2,1993,599884,118,3.918e+09
"Alaska",2,1994,603918,85,4.149e+09
"Alaska",2,1995,605068,87,4.123e+09
"Alaska",2,1996,609231,81,4.115e+09
"Alaska",2,1997,613530,77,4.387e+09
"Alaska",2,1998,620503,70,4.514e+09
"Alaska",2,1999,624779,79,4.545e+09
"Alaska",2,2000,626932,106,4.613e+09
"Alaska",2,2001,633714,89,4.721e+09
"Alaska",2,2002,642337,89,4.896e+09
"Alaska",2,2003,648414,98,4.942e+09
"Alaska",2,2004,659286,101,4.99e+09
"Alaska",2,2005,666946,73,5.035e+09
"Alaska",2,2006,675302,74,4.967e+09
"Alaska",2,2007,680300,84,5.153e+09
"Alaska",2,2008,687455,62,4.865e+09
"Alaska",2,2009,698895,64,4.933e+09
"Alaska",2,2010,710231,56,4798261974.23
"Arizona",4,1990,3670009,869,3.5455e+10
"Arizona",4,1991,3789418,816,3.4929e+10
"Arizona",4,1992,3917373,809,3.5047e+10
"Arizona",4,1993,4066852,801,3.7653e+10
"Arizona",4,1994,4247728,904,3.8774e+10
"Arizona",4,1995,4433841,1035,3.9653e+10
"Arizona",4,1996,4589841,994,4.2123e+10
"Arizona",4,1997,4739994,951,4.3491e+10
"Arizona",4,1998,4886250,980,4.5158e+10
"Arizona",4,1999,5023823,1024,4.6924e+10
"Arizona",4,2000,5130632,1036,4.9216e+10
"Arizona",4,2001,5273477,1051,4.9655e+10
"Arizona",4,2002,5396255,1132,5.1334e+10
"Arizona",4,2003,5510364,1118,5.3896e+10
"Arizona",4,2004,5652404,1151,5.7336e+10
"Arizona",4,2005,5839077,1179,5.9799e+10
"Arizona",4,2006,6029141,1293,6.2468e+10
"Arizona",4,2007,6167681,1066,6.2963e+10
"Arizona",4,2008,6280362,937,6.1628e+10
"Arizona",4,2009,6343154,806,6.1628e+10
"Arizona",4,2010,6392017,759,60062999569.12
"Arkansas",5,1990,2352527,604,2.1011e+10
"Arkansas",5,1991,2384138,608,2.1934e+10
"Arkansas",5,1992,2416429,588,2.3081e+10
"Arkansas",5,1993,2457014,583,2.3995e+10
"Arkansas",5,1994,2494910,609,2.4948e+10
"Arkansas",5,1995,2535835,631,2.6653e+10
"Arkansas",5,1996,2573244,615,2.7809e+10
"Arkansas",5,1997,2602253,660,2.8076e+10
"Arkansas",5,1998,2627564,625,2.8346e+10
"Arkansas",5,1999,2651860,604,2.9247e+10
"Arkansas",5,2000,2673400,652,2.9167e+10
"Arkansas",5,2001,2691571,611,2.9433e+10
"Arkansas",5,2002,2705927,640,3.008e+10
"Arkansas",5,2003,2724816,640,3.0639e+10
"Arkansas",5,2004,2749686,703,3.1648e+10
"Arkansas",5,2005,2781097,654,3.1972e+10
"Arkansas",5,2006,2821761,665,3.3007e+10
"Arkansas",5,2007,2848650,650,3.3171e+10
"Arkansas",5,2008,2874554,600,3.3163e+10
"Arkansas",5,2009,2896843,596,33219433101.03
"Arkansas",5,2010,2915918,571,33504425257.15
"California",6,1990,29829422,5192,2.58926e+11
"California",6,1991,30482745,4688,2.57976e+11
"California",6,1992,30992952,4192,2.62548e+11
"California",6,1993,31296016,4164,2.66408e+11
"California",6,1994,31505058,4232,2.71943e+11
"California",6,1995,31719735,4192,2.76371e+11
"California",6,1996,32046821,3989,2.78043e+11
"California",6,1997,32514514,3688,2.79096e+11
"California",6,1998,33021362,3494,2.9063e+11
"California",6,1999,33499204,3559,3.00066e+11
"California",6,2000,33871648,3753,3.06649e+11
"California",6,2001,34479458,3956,3.10575e+11
"California",6,2002,34871843,4088,3.20942e+11
"California",6,2003,35253159,4224,3.23592e+11
"California",6,2004,35574576,4120,3.28917e+11
"California",6,2005,35827943,4333,3.29267e+11
"California",6,2006,36021202,4240,3.27478e+11
"California",6,2007,36250311,3974,3.28312e+11
"California",6,2008,36604337,3434,3.27286e+11
"California",6,2009,36961229,3090,3.24486e+11
"California",6,2010,37253956,2720,322849397847.77
"Colorado",8,1990,3295529,544,2.7178e+10
"Colorado",8,1991,3387824,543,2.7744e+10
"Colorado",8,1992,3496821,522,3.0808e+10
"Colorado",8,1993,3614735,559,3.2718e+10
"Colorado",8,1994,3725509,586,3.3705e+10
"Colorado",8,1995,3827609,645,3.5058e+10
"Colorado",8,1996,3921395,617,3.6141e+10
"Colorado",8,1997,4018882,613,3.7746e+10
"Colorado",8,1998,4118190,628,3.9283e+10
"Colorado",8,1999,4226018,626,4.0732e+10
"Colorado",8,2000,4301261,681,4.1771e+10
"Colorado",8,2001,4425687,741,4.2955e+10
"Colorado",8,2002,4490406,743,4.3545e+10
"Colorado",8,2003,4528732,642,4.3379e+10
