"nj","fte","post"
0,34,0
0,24,0
0,70.5,0
0,23.5,0
0,11,0
0,9,0
0,15.5,0
0,58,0
0,26.5,0
0,28.5,0
0,13.5,0
0,16.75,0
0,9.5,0
0,15,0
0,29.5,0
0,18.5,0
0,20.25,0
0,36,0
0,21,0
0,20.5,0
0,19,0
0,14,0
0,19,0
0,32.5,0
0,27,0
0,19.5,0
0,24,0
0,18,0
0,19,0
0,14,0
0,10.5,0
0,38,0
0,23.5,0
0,10.5,0
0,25,0
0,11,0
0,36.5,0
0,52.5,0
0,45,0
0,22.75,0
0,7.5,0
0,38,0
0,17.5,0
0,25,0
0,21,0
0,15.5,0
0,15.5,0
0,8.5,0
0,18,0
0,39,0
0,41.5,0
0,22.5,0
0,32,0
0,24,0
0,26,0
0,48.5,0
0,8.5,0
0,13,0
0,28,0
0,24.5,0
0,18.5,0
0,15,0
0,18,0
0,20.25,0
0,15.5,0
0,21,0
1,5,0
1,16,0
1,41.5,0
1,13,0
1,10,0
1,15,0
1,26,0
1,18,0
1,35,0
1,21,0
1,34.5,0
1,18.25,0
1,20,0
1,16,0
1,17.5,0
1,20,0
1,12.25,0
1,33,0
1,31.5,0
1,28,0
1,16.5,0
1,14.75,0
1,23.5,0
1,46.5,0
1,15.5,0
1,24.5,0
1,24,0
1,23,0
1,28,0
1,32.5,0
1,23,0
1,17,0
1,30,0
1,21.5,0
1,32,0
1,8,0
1,35.5,0
1,33,0
1,22,0
1,23,0
1,23,0
1,8.5,0
1,12.5,0
1,9.5,0
1,13,0
1,17,0
1,9,0
1,19,0
1,11.5,0
1,13,0
1,48,0
1,45.5,0
1,15,0
1,18,0
1,21,0
1,20.5,0
1,20.5,0
1,17.5,0
1,27.5,0
1,24,0
1,34,0
1,18,0
1,24,0
1,33.5,0
1,12,0
1,35,0
1,35,0
1,16,0
1,15.5,0
1,19,0
1,24,0
1,36,0
1,29,0
1,29,0
1,21.25,0
1,15.5,0
1,19.5,0
1,21,0
1,14,0
1,30.5,0
1,23.5,0
1,14,0
1,14.5,0
1,15.5,0
1,26.5,0
1,5.5,0
1,23.25,0
1,15.5,0
1,32.25,0
1,30,0
1,30.5,0
1,27,0
1,18.5,0
1,38,0
1,16.5,0
1,50,0
1,20.5,0
1,6.5,0
1,13.5,0
1,28,0
1,21.5,0
1,24,0
1,20.5,0
1,23.5,0
1,23,0
1,17,0
1,20.5,0
1,23.5,0
1,9.5,0
1,10,0
1,14,0
1,85,0
1,15,0
1,21.5,0
1,53,0
1,24,0
1,20.5,0
1,14.5,0
1,25,0
1,27,0
1,22.5,0
1,36.5,0
1,17.25,0
1,21.5,0
1,24.5,0
1,19,0
1,25,0
1,16,0
1,19,0
1,22.75,0
1,35,0
1,16,0
1,21,0
1,30.5,0
1,23,0
1,21.5,0
1,36.5,0
1,23,0
1,14,0
1,17.25,0
1,18.5,0
1,8.5,0
1,14,0
1,23,0
1,29,0
1,19,0
1,21,0
1,17,0
1,36,0
1,25,0
1,29.5,0
1,22,0
1,11,0
1,13.5,0
1,13.5,0
1,18,0
1,9.5,0
1,24,0
1,14.5,0
1,29,0
1,10.5,0
1,18,0
1,9,0
1,33,0
